coffeeshop_name,branch,has_other_branches,branch_locations,most_popular_branch,peak_hours,busiest_days,peak_season,best_weather_for_visits,best_selling_product,least_selling_product,avg_time_spent,dominant_age_group,new_vs_loyal_customers,visit_purpose,solo_vs_group_visits,customer_reaction_to_discounts,recent_campaign_types,products_in_campaigns,sales_difference_after_campaigns,preferred_payment_method,avg_order_price,wolt_vs_inhouse_orders,most_preferred_size,seating_capacity,holiday_customer_increase,has_loyalty_card,winter_weekday_orders,winter_weekend_orders,summer_weekday_orders,summer_weekend_orders,has_dietary_options,americano_price,latte_price,espresso_price,cappuccino_price,rafcoffee_price,whitemocha_price,blackmocha_price,hotchocolate_price,tea_price,phone,rating,review_count,excellent_reviews,good_reviews,average_reviews,poor_reviews,terrible_reviews,accepts_credit_cards,seating,free_wifi,visa,mastercard,delivery,takeout,reservations,street_parking,non_smoking_restaurants,parking_available,family_style,digital_payments,table_service,wine_and_beer,serves_alcohol,outdoor_seating,american_express,dog_friendly,full_bar,wheelchair_accessible,cash_only,discover,free_off_street_parking,drive_thru,television,live_music,highchairs_available,gift_cards_available,private_dining,playgrounds,buffet,sports_bars,jazz_bar,validated_parking,valet_parking,waterfront,beach
Kaffein Coffee,Gara Garayev pr.61,Xeyr,,,Axşam (16:00 - 22:00),"Şənbə, Bazar",Qış,Günəşli günlər,Americano,Tea,1 saat və daha çox,18-24,Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,+20% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,70,20%,Bəli,50-100,100-200,100-200,200+,Bəli,6,6.5,4,6.5,7.5,7.5,7.5,6.5,5,+994 50 845 27 28,2.8,37,10,11,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Mode,Khatai,Xeyr,,,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Qış,Yağışlı günlər,Americano,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",Tək gələnlər daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,5-8 Azn,Məkan daxilində daha çox sifariş var,Medium,15,10%,Bəli,0-50,50-100,50-100,100-200,Xeyr,6,5.9,3,5.9,8,6.5,6.5,6.5,5,+994 51 337 09 04,1.3,16,3,2,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoffeeLea,Khatai,Bəli,"Statistika, Ganjlik Dədə qorqud, Ganjlik Atatürk filialı, Sumgait ",Khatai,Günorta (12:00 - 16:00),"Şənbə, Bazar",Yaz,Günəşli günlər,Latte,Matcha,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,70,20%,Xeyr,100-200,200+,100-200,200+,Xeyr,5.5,6.5,3.9,6.5,7.5,7.5,7.5,7.9,4.9,+994 51 333 51 56,3.3,99,21,15,21,13,29,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second Cup,Khatai,Bəli,"Port Baku, Nariman Narimanov, Port Baku Walk, White city, Statistika, Targovy, Sevinc mall, Ganjlik ","Khatai, Nariman Narimanov, Targovy","Səhər (08:00 - 12:00), Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Americano,Chai tea latte,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",4+ nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+20% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,70,20%,Bəli,100-200,200+,100-200,200+,Bəli,6.2,8.3,3.5,6.9,8.3,8.3,8.3,7.9,5,+994 12 404 84 34,3.1,84,17,16,18,14,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeemania Next,Khatai,Bəli,"Crescent Mall, White city, City park, Nariman Narimanov","Crescent Mall,  Nariman Narimanov","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Soyuq hava,Raf coffee,Tea,30 dəqiqə,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Kampaniya yoxdur,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+20% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Xeyr,50-100,100-200,50-100,100-200,Bəli,6.9,7.5,5.5,7.5,8.9,9,9,8.9,4.5,Unknown,4.7,33,7,7,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jini Coffee,Khatai,Bəli,Sea Breeze (LightHouse residence),Khatai,Axşam (16:00 - 22:00),"Şənbə, Bazar",Qış,Yağışlı günlər,Latte,Matcha,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Sendviç və yeməklər,+10% artım,Kart,9-12 Azn,Wolt sifarişləri çoxdur,Large,25,10%,Xeyr,0-50,50-100,0-50,50-100,Bəli,6,7,4.5,6.5,9,9,9,7.5,5,+994 55 130 95 61,1.9,37,14,7,6,6,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
United Coffee Beans,Khatai,Bəli,"Targovy, White city",White city,Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Qış,Günəşli günlər,Latte,Tea,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sosial görüşlər",Tək gələnlər daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Large,30,10%,Xeyr,50-100,100-200,100-200,100-200,Bəli,6,8.5,4.9,6.5,11,9.9,9.9,8,5,+994 50 505 11 25,2.4,70,17,8,15,8,22,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Chocolate & Coffee,Khatai,Bəli,"White city, Nariman Narimanov, Hazi Aslanov, Sumgait","Khatai, White city","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Raf coffee,Chai tea latte,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Bəli,100-200,200+,100-200,200+,Xeyr,5,6.3,4,6.3,8,6.7,6.7,6.8,3.8,+994 55 955 77 05,3.3,32,2,12,6,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beast Coffee,White city,Xeyr,,,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Raf coffee,Hot Chocolate,1 saat və daha çox,"18-24, 25-34",Yeni,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+10% artım,Nağd,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,10%,Xeyr,50-100,100-200,100-200,200+,Xeyr,7,8.5,5.5,8,8.5,9,9,9,8,+994 50 255 99 33,4.6,57,25,0,4,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croque Baku,White city,Xeyr,,,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Americano,Mocha,1 saat və daha çox,"18-24, 25-34",Yeni,Sadəcə qəhvə içmək üçün,2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,30 Azn,Wolt sifarişləri çoxdur,Medium,25,10%,Xeyr,50-100,50-100,50-100,100-200,Xeyr,6,7,5,7,8,8,8,9,3,+994 55 977 65 76,4.7,86,27,14,23,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
